Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Norway,78.6,78.8,79,79.4,79.8,80,80.3,80.4,80.6,80.8,81,81.3,81.5,81.8,82.1,82.1
Switzerland,79.7,80.2,80.4,80.5,81.1,81.2,81.5,81.7,82,82,82.2,82.7,82.7,82.8,83.2,83.2
Australia,79.2,79.6,79.9,80.2,80.5,80.8,81,81.3,81.4,81.5,81.7,81.9,82,82.1,82.3,82.5
Ireland,76.5,77.1,77.6,78.1,78.5,78.9,79.2,79.6,80.1,80.2,80.7,80.7,80.8,81,81.3,81.5
Germany,77.9,78.3,78.2,78.4,78.7,78.9,79.1,79.5,79.7,79.8,80,80.4,80.5,80.5,81.1,81.1
Iceland,79.7,80.7,80.5,81,81,81.5,81.2,81.5,81.6,81.8,81.9,82.4,82.9,82.1,82.9,82.9
Hong Kong,80.9,81.4,81.5,81.3,81.8,81.6,82.4,82.3,82.4,82.8,83,83.4,83.5,83.8,84,84.3
Sweden,79.6,79.8,79.8,80.1,80.5,80.5,80.7,80.9,81.1,81.4,81.5,81.8,81.7,82,82.3,82.6
Netherlands,78,78.2,78.3,78.5,79.1,79.3,79.7,80.1,80.3,80.5,80.7,81.2,81.1,81.3,81.7,81.7
Denmark,76.6,76.8,76.9,77.1,77.5,77.8,78.1,78.2,78.4,78.6,79.1,79.8,80.1,80.3,80.7,81.1
Canada,79.2,79.5,79.6,79.8,80.1,80.3,80.3,80.5,80.7,80.9,81.2,81.4,81.6,81.8,82,82.1
United States of America,76.6,76.8,76.9,77,77.5,77.5,77.7,78,78,78.4,78.5,78.6,78.7,78.7,78.7,78.7
United Kingdom,77.7,78,78.1,78.4,78.7,79,79.2,79.4,79.6,80.1,80.4,81,80.9,81,81.3,81.6
Finland,77.5,78,78.1,78.4,78.7,78.8,79.2,79.3,79.6,79.7,79.9,80.5,80.6,81,81.2,81.4
New Zealand,78.6,78.7,78.8,79.1,79.5,79.9,80,80.2,80.4,80.7,80.7,80.9,81.2,81.4,81.4,81.5
